date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:32	744/744	---MCZ	200	added ('OK')	text/plain	etag:W/%22678e20c4-88d%22	https://irishaidfellowships.ddev.site/robots.txt		(from )
18:56:33	30418/30418	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Feb%202025%2017:56:32%20GMT	https://irishaidfellowships.ddev.site/	/home/dan/weby/static/iaf3/index.html	(from )
18:56:34	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22678e20c4-3aee%22	https://irishaidfellowships.ddev.site/sites/all/themes/custom/weather/favicon.ico	/home/dan/weby/static/iaf3/sites/all/themes/custom/weather/favicon.ico	(from https://irishaidfellowships.ddev.site/)
18:56:34	5428/5428	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-1534%22	https://irishaidfellowships.ddev.site/modules/system/system.base.css?srkzjb	/home/dan/weby/static/iaf3/modules/system/system.base39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:35	1036/1036	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-40c%22	https://irishaidfellowships.ddev.site/modules/book/book.css?srkzjb	/home/dan/weby/static/iaf3/modules/book/book39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:36	550/550	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-226%22	https://irishaidfellowships.ddev.site/modules/field/theme/field.css?srkzjb	/home/dan/weby/static/iaf3/modules/field/theme/field39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:37	144/144	---M--	200	added ('OK')	text/css	etag:%22678e20c4-90%22	https://irishaidfellowships.ddev.site/modules/node/node.css?srkzjb	/home/dan/weby/static/iaf3/modules/node/node39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:38	564/564	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-234%22	https://irishaidfellowships.ddev.site/modules/search/search.css?srkzjb	/home/dan/weby/static/iaf3/modules/search/search39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:39	1827/1827	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-723%22	https://irishaidfellowships.ddev.site/modules/user/user.css?srkzjb	/home/dan/weby/static/iaf3/modules/user/user39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:40	707/707	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-2c3%22	https://irishaidfellowships.ddev.site/sites/all/modules/contrib/views/css/views.css?srkzjb	/home/dan/weby/static/iaf3/sites/all/modules/contrib/views/css/views39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:41	509/509	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-1fd%22	https://irishaidfellowships.ddev.site/sites/all/modules/contrib/ctools/css/ctools.css?srkzjb	/home/dan/weby/static/iaf3/sites/all/modules/contrib/ctools/css/ctools39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:42	786/786	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-312%22	https://irishaidfellowships.ddev.site/sites/all/modules/contrib/panels/css/panels.css?srkzjb	/home/dan/weby/static/iaf3/sites/all/modules/contrib/panels/css/panels39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:43	545/545	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-221%22	https://irishaidfellowships.ddev.site/sites/all/modules/contrib/wysiwyg_linebreaks/wysiwyg_linebreaks.css?srkzjb	/home/dan/weby/static/iaf3/sites/all/modules/contrib/wysiwyg_linebreaks/wysiwyg_linebreaks39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:44	270/270	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-10e%22	https://irishaidfellowships.ddev.site/sites/all/modules/contrib/flexslider/assets/css/flexslider_img.css?srkzjb	/home/dan/weby/static/iaf3/sites/all/modules/contrib/flexslider/assets/css/flexslider_img39a1.css	(from https://irishaidfellowships.ddev.site/)
18:56:45	6940/6940	---MCZ	200	added ('OK')	text/css	etag:W/%22678e20c4-1b1c%22	https://irishaidfellowships.ddev.site/sites/all/libraries/flexslider/flexslider.css?srkzjb	/home/dan/weby/static/iaf3/sites/all/libraries/flexslider/flexslider39a1.css	(from https://irishaidfellowships.ddev.site/)
